record_timestamp,name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,geometry.type,geometry.coordinates,lat,lng
2024-04-16T12:27:00.395Z,Ivry - Simone Weil,13039,0,0,"[48.823283932030755, 2.3659095168113713]",2024-04-16T12:14:16+00:00,0,18,18,1,1,Paris,OUI,Point,"[2.3659095168113713, 48.823283932030755]",48.823283932030755,2.3659095168113713
2024-04-16T12:27:00.395Z,Cimetière de Boulogne-Billancourt,21031,6,24,"[48.830764, 2.252024]",2024-04-16T12:22:19+00:00,30,8,40,1,1,Boulogne-Billancourt,OUI,Point,"[2.252024, 48.830764]",48.830764,2.252024
2024-04-16T12:27:00.395Z,Ranelagh - Maison de la Radio,16024,2,13,"[48.85293603169479, 2.280449643731117]",2024-04-16T12:22:06+00:00,15,7,22,1,1,Paris,OUI,Point,"[2.280449643731117, 48.85293603169479]",48.85293603169479,2.280449643731117
2024-04-16T12:27:00.395Z,Gare SNCF Vanves-Malakoff,21702,0,1,"[48.819002163836444, 2.292150005103606]",2024-04-16T12:18:26+00:00,1,50,51,1,1,Vanves,OUI,Point,"[2.292150005103606, 48.819002163836444]",48.819002163836444,2.292150005103606
2024-04-16T12:27:00.395Z,Hôtel de Ville de Fontenay-aux-Roses,22604,0,0,"[48.790844603480856, 2.2871455930319455]",2024-04-16T12:15:58+00:00,0,34,34,1,1,Fontenay-aux-Roses,OUI,Point,"[2.2871455930319455, 48.790844603480856]",48.790844603480856,2.2871455930319455
2024-04-16T12:27:00.395Z,Docteurs Déjérine - Pte de Montreuil,20009,1,0,"[48.85398448133697, 2.41208288897222]",2024-04-16T12:15:52+00:00,1,19,20,1,1,Paris,OUI,Point,"[2.41208288897222, 48.85398448133697]",48.85398448133697,2.41208288897222
2024-04-16T12:27:00.395Z,Vinaigriers - Magenta,10012,4,1,"[48.8731167, 2.3593052]",2024-04-16T12:18:18+00:00,5,20,25,1,1,Paris,OUI,Point,"[2.3593052, 48.8731167]",48.8731167,2.3593052
2024-04-16T12:27:00.395Z,Malakoff - Place de la Porte Maillot,16101,9,6,"[48.876733496637506, 2.2834577411413193]",2024-04-16T12:19:46+00:00,15,2,31,1,1,Paris,OUI,Point,"[2.2834577411413193, 48.876733496637506]",48.876733496637506,2.2834577411413193
2024-04-16T12:27:00.395Z,Carnot - Général Lanrezac,17033,0,0,"[48.875443870736, 2.2938242935036]",2018-05-21T05:30:29+00:00,0,30,30,0,1,Paris,NON,Point,"[2.2938242935036, 48.875443870736]",48.875443870736,2.2938242935036
2024-04-16T12:27:00.395Z,Bruneseau - Quai d'Ivry,13121,2,43,"[48.82494563758295, 2.388566136360169]",2024-04-16T12:19:46+00:00,45,0,46,1,1,Ivry-sur-Seine,OUI,Point,"[2.388566136360169, 48.82494563758295]",48.82494563758295,2.388566136360169
2024-04-16T12:27:00.395Z,Pontoise - La Tournelle,5107,3,9,"[48.850458009188, 2.3524542754922]",2024-04-16T12:21:12+00:00,12,9,23,1,1,Paris,OUI,Point,"[2.3524542754922, 48.850458009188]",48.850458009188,2.3524542754922
2024-04-16T12:27:00.395Z,Square Alban Satragne,10018,3,4,"[48.875388227727, 2.3559567333359]",2024-04-16T12:18:50+00:00,7,22,30,1,1,Paris,OUI,Point,"[2.3559567333359, 48.875388227727]",48.875388227727,2.3559567333359
2024-04-16T12:27:00.395Z,Buzenval - Avron,20007,1,1,"[48.851617204998654, 2.401513597307666]",2024-04-16T12:12:38+00:00,2,47,50,1,1,Paris,OUI,Point,"[2.401513597307666, 48.851617204998654]",48.851617204998654,2.401513597307666
2024-04-16T12:27:00.395Z,Daumesnil - Hébrard,12043,3,15,"[48.8429, 2.38474]",2024-04-16T12:21:23+00:00,18,21,40,1,1,Paris,OUI,Point,"[2.38474, 48.8429]",48.8429,2.38474
